Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,Turkish,Hindi,Arabic,Bengali,,,,
STAGE_4,Hangar,機庫,機庫,Doanh Trại,Hanggar,Hangar,Hangar,Ангар,Hangar,Hangar,हैंगर,حظيرة,হ্যাঙ্গার,,,,
STAGE_5,Katulistiwa,卡圖利斯蒂瓦,卡圖利斯蒂瓦,Làng Thông,Katulistiwa,Katulistiwa,Katulistiwa,Катулистива,Katulistiwa,Katulistiwa,कटुलिस्टिवा,كاتوليستيوا,কাতুলিস্তিওয়া,,,,
STAGE_6,Observatory,天文台,天文台,Đài Quan Sát,Observatorium,Observatório,Observatorio,Обсерватория,Observatoire,Gözlemevi,बेधशाला,المرصد,মানমন্দির,,,,
STAGE_7,Mill,磨,磨,Kho Quân Sự,Pabrik,Moinho,Molino,Мельница,Moulin,Değirmen,चक्की,مطحنة,মিল,,,,
STAGE_8,Shipyard,船廠,船廠,Cảng Biển,Galangan kapal,Estaleiro,Astillero,Верфь,Chantier naval,Tersane,शिपयार्ड,حوض بناء السفن,শিপইয়ার্ড,,,,
STAGE_9,Cape Town,開普敦,開普敦,Thành Phố Biển,Kota Tanjung,Cidade do Cabo,Ciudad del Cabo,Кейптаун,Le Cap,Cape Town,केप टाउन,كيب تاون,কেপ টাউন,,,,
STAGE_10,Nurek Dam,努列克大壩,努列克大壩,Đập Thủy Điện,Bendungan Nurek,Barragem de Nurek,Presa de Nurek,Нурекская плотина,Barrage de Nourek,Nurek Barajı,नूरेक बांध,سد نوريك,নুরেক বাঁধ,,,,
STAGE_11,Bimasakti Shop,比馬薩克蒂商店,比馬薩克蒂商店,Thung Lũng,Toko Bimasakti,Loja Bimasakti,Tienda Bimasakti,Магазин Бимасакти,Boutique Bimasakti,Bimasakti Mağazası,बीमाशक्ति शॉप,متجر بيماساكتي,বিমাশক্তির দোকান,,,,
MULTI_SCBOARD_KILL,Kills,擊殺數,擊殺數,Hạ gục,Membunuh,Mata,Mata,Убийств,Tue,Öldürür,हत्या,يقتل,হত্যা করে,,,,
MULTI_SCBOARD_DEATH,Deaths,死亡人數,死亡人數,Nằm xuống,Meninggal,Mortes,Fallecidos,Летальные исходы,Décès,Ölümler,मौतें,حالات الوفاة,মৃত্যু,,,,
MULTI_SCBOARD_DMG,Damage,損害,損害,Sát thương,Kerusakan,Dano,Daño,Повреждать,Dommage,Zarar,हानि,ضرر,ক্ষতি,,,,
SHOP_TITLE_RIFLE,Rifles,步槍,步槍,Súng trường,Pasukan penembak,Rifles,Rifles,Винтовки,Fusils,Tüfekler,राइफल,بنادق,রাইফেলস,,,,
SHOP_TITLE_SHOTGUN,Shotguns,霰彈槍,霰彈槍,Súng shotgun,Senapan,Espingardas,Escopetas,Дробовики,Fusils de chasse,Av tüfekleri,बंदूकें,بنادق الصيد,শটগান,,,,
SHOP_TITLE_SMG,SMGs,衝鋒槍,衝鋒槍,Súng tiểu liên,Senjata mesin ringan,Submetralhadoras,Subfusiles,пистолеты-пулеметы,mitraillettes,Hafif makineli tüfekler,एसएमजी,رشاشات رشاشة صغيرة,এসএমজি,,,,
SHOP_TITLE_SNIPER,Snipers,狙擊手,狙擊手,Súng ngắm,Penembak jitu,Atiradores de elite,Francotiradores,Снайперы,tireurs d'élite,Keskin nişancılar,स्नाइपर्स,قناصة,স্নাইপার,,,,
FULL_SCBOARD_TARGET,Booyah Target: 3,布亞目標：3,布亞目標：3,Mục tiêu Booyah: 3,Target Booyah: 3,Booyah Alvo: 3,Booyah Objetivo: 3,Цель Буя: 3,Cible Booyah : 3,Booyah Hedefi: 3,बूया लक्ष्य: 3,هدف بويا: 3,বুয়াঃ টার্গেটঃ 3,,,,
WEAPON_CHOOSE_TITLE,Choose your weapons!,選擇你的武器！,選擇คุณ的武器!,Lựa chọn vũ khí của bạn!,Pilih senjata Anda!,Escolha suas armas!,¡Elige tus armas!,Выбирайте свое оружие!,Choisissez vos armes !,Silahlarınızı seçin!,अपने हथियार चुनें!,اختار أسلحتك!,আপনার অস্ত্র চয়ন করুন!,,,,
EVENT_0,Big Head Mode activated: All players have enlarged heads for this round,大頭模式已啟動：本輪所有玩家的頭都變大了,ตัวใหญ่,"Chế độ Đầu To đã kích hoạt: Tất cả người chơi có đầu to hơn trong hiệp này","Mode Kepala Besar diaktifkan: Semua pemain memiliki kepala yang diperbesar untuk ronde ini","Modo Cabeça Grande ativado: Todos os jogadores têm cabeças aumentadas nesta rodada","Modo Cabeza Grande activado: Todos los jugadores tienen cabezas agrandadas para esta ronda",Активирован режим «Большая голова»: в этом раунде у всех игроков увеличены головы.,"Mode Grosse Tête activé : Tous les joueurs ont des têtes agrandies pour ce tour",Büyük Kafa Modu etkinleştirildi: Bu turda tüm oyuncuların kafaları büyütüldü,बिग हेड मोड सक्रिय: इस राउंड के लिए सभी खिलाड़ियों के सिर बड़े कर दिए गए हैं,"تم تفعيل وضع الرأس الكبير: جميع اللاعبين لديهم رؤوس مكبرة لهذه الجولة","বিগ হেড মোড সক্রিয় করা হয়েছে: এই রাউন্ডের জন্য সমস্ত খেলোয়াড়ের মাথা বড় হয়েছে৷",في هذه الجولة ، كل شخص لديه رأس كبير,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာခေါင်းကြီးတွေရှိတယ်,اس دور میں ، ہر ایک کا سر بڑا ہے,"এই রাউন্ডে, প্রত্যেকেরই বড় মাথা আছে"
EVENT_1,Anti-Gravity Zone active: Reduced gravity physics in effect,反重力區活化：降低重力物理效應,反重力區活化：降低重力物理效應,"Khu vực Không trọng lực xuất hiện: Người chơi có thể nhảy cao hơn","Zona Anti-Gravitasi aktif: Fisika gravitasi yang dikurangi sedang berlaku","Zona Antigravidade ativa: Física de gravidade reduzida em vigor","Zona antigravedad activa: Física de gravedad reducida en efecto",Зона антигравитации активна: действует физика пониженной гравитации.,"Zone anti-gravité active : physique de gravité réduite en vigueur",Anti-Yerçekimi Bölgesi etkin: Azaltılmış yerçekimi fiziği etkili,एंटी-ग्रेविटी ज़ोन सक्रिय: कम गुरुत्वाकर्षण भौतिकी प्रभाव में,"منطقة مكافحة الجاذبية نشطة: تم تخفيض تأثير فيزياء الجاذبية","অ্যান্টি-গ্র্যাভিটি জোন সক্রিয়: প্রভাবে মাধ্যাকর্ষণ পদার্থবিদ্যা হ্রাস",في هذه الجولة ، تظهر منطقة الجاذبية صفر,ဒီပတ်ပတ်လည်မှာသုညဆွဲငင်အားဇုန်ပေါ်လာလိမ့်မယ်,اس دور میں ، صفر کشش ثقل زون ظاہر ہوتا ہے,"এই রাউন্ডে, শূন্য মাধ্যাকর্ষণ অঞ্চল উপস্থিত হয়"
EVENT_2,Enhanced Glowwall Supply: All players receive increased Glowwall equipment,增強型 Glowwall 補給：所有玩家將可獲得增強型 Glowwall 裝備,增強型 Glowwall 補給：所มี玩家將可獲得增強型 Glowwall 裝備,"Tăng cường Bom Keo: Tất cả người chơi nhận thêm một lượng lớn Bom Keo","Pasokan Glowwall yang Ditingkatkan: Semua pemain menerima peningkatan perlengkapan Glowwall","Suprimento de Glowwall aprimorado: todos os jogadores recebem equipamento Glowwall aprimorado","Suministro mejorado de Glowwall: todos los jugadores reciben equipo de Glowwall mejorado",Улучшенное снаряжение Glowwall: все игроки получают улучшенное снаряжение Glowwall.,"Approvisionnement de Glowwall amélioré : tous les joueurs reçoivent un équipement Glowwall amélioré",Geliştirilmiş Parıltı Duvarı Malzemesi: Tüm oyuncular artırılmış Parıltı Duvarı ekipmanı alır,"उन्नत ग्लोवॉल आपूर्ति: सभी खिलाड़ियों को बढ़ी हुई ग्लोवॉल उपकरण प्राप्त होते हैं","إمدادات متوهجة محسنة: يتلقى جميع اللاعبين معدات متوهجة متزايدة","বর্ধিত গ্লোওয়াল সরবরাহ: সমস্ত খেলোয়াড় বর্ধিত গ্লোওয়াল সরঞ্জাম পান",في هذه الجولة ، كل شخص لديه الكثير من gloowalls,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာ gloowalls တွေအများကြီးရှိတယ်,اس دور میں ، ہر ایک کے پاس بہت سارے گلوولز ہوتے ہیں,"এই রাউন্ডে, প্রত্যেকের প্রচুর গ্লোওল রয়েছে"
EVENT_3,Explosive Arsenal Mode: All players spawn with additional grenades,爆炸武器庫模式：所有玩家都會獲得額外的手榴彈,爆炸武器庫模式：所有玩家都會獲得額外的手榴彈,"Chế độ Bùng nổ: Tất cả người chơi được trang bị thêm lựu đạn","Mode Gudang Senjata Peledak: Semua pemain muncul dengan granat tambahan","Modo Arsenal Explosivo: Todos os jogadores aparecem com granadas adicionais","Modo Arsenal Explosivo: Todos los jugadores aparecen con granadas adicionales",Режим «Взрывной арсенал»: все игроки появляются с дополнительными гранатами.,"Mode Arsenal explosif : tous les joueurs apparaissent avec des grenades supplémentaires",Patlayıcı Cephanelik Modu: Tüm oyuncular ek el bombalarıyla ortaya çıkar,विस्फोटक शस्त्रागार मोड: सभी खिलाड़ी अतिरिक्त ग्रेनेड के साथ पैदा होते हैं,"وضع الترسانة المتفجرة: يظهر جميع اللاعبين مع قنابل يدوية إضافية","বিস্ফোরক আর্সেনাল মোড: সমস্ত খেলোয়াড় অতিরিক্ত গ্রেনেড দিয়ে জন্মায়",في هذه الجولة ، كل شخص لديه الكثير من القنابل اليدوية,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာလက်ပစ်ဗုံးတွေအများကြီးရှိတယ်,اس دور میں ، ہر ایک کے پاس بہت سارے دستی بم ہوتے ہیں,"এই রাউন্ডে, প্রত্যেকের প্রচুর গ্রেনেড রয়েছে"
EVENT_4,Speed Boost Active: All players have enhanced movement speed,加速啟動：所有玩家的移動速度都增強,加速啟動：所有玩家的移動速度都增強,"Tăng tốc: Tất cả người chơi được tăng tốc độ di chuyển","Peningkatan Kecepatan Aktif: Semua pemain memiliki kecepatan gerakan yang ditingkatkan","Aumento de velocidade ativo: todos os jogadores têm velocidade de movimento aprimorada","Aumento de velocidad activo: todos los jugadores tienen una velocidad de movimiento mejorada",Активное ускорение: у всех игроков увеличена скорость передвижения.,"Boost de vitesse actif : tous les joueurs bénéficient d'une vitesse de déplacement améliorée",Hız Artışı Aktif: Tüm oyuncuların hareket hızı artırıldı,स्पीड बूस्ट एक्टिव: सभी खिलाड़ियों की गति बढ़ गई है,"تعزيز السرعة النشط: يتمتع جميع اللاعبين بسرعة حركة محسنة","স্পিড বুস্ট অ্যাক্টিভ: সমস্ত খেলোয়াড়ের চলাচলের গতি উন্নত হয়েছে",في هذه الجولة ، تزداد سرعة حركة الجميع,ဒီပတ်ပတ်လည်မှာလူတိုင်းလှုပ်ရှားမှုမြန်နှုန်းတိုးလာသည်,اس دور میں ، ہر ایک کی نقل و حرکت کی رفتار میں اضافہ ہوتا ہے,"এই রাউন্ডে, প্রত্যেকের চলাচলের গতি বৃদ্ধি পায়"
EVENT_5,Shrinking Effect: Players become smaller when taking damage,縮小效果：玩家受到傷害時體型變小,縮小效果：玩家受到傷害時體型變เล็ก,"Hiệu ứng Thu nhỏ: Người chơi trở nên nhỏ hơn khi nhận sát thương","Efek Menyusut: Pemain menjadi lebih kecil saat menerima kerusakan","Efeito de encolhimento: os jogadores ficam menores ao sofrer dano","Efecto de encogimiento: los jugadores se vuelven más pequeños al recibir daño.","Эффект уменьшения: игроки становятся меньше при получении урона.","Effet de rétrécissement : les joueurs deviennent plus petits lorsqu'ils subissent des dégâts","Büzülme Etkisi: Oyuncular hasar aldıklarında küçülürler","सिकुड़ने वाला प्रभाव: क्षति सहने पर खिलाड़ी छोटे हो जाते हैं","تأثير الانكماش: يصبح اللاعبون أصغر حجمًا عند تلقي الضرر","সঙ্কুচিত প্রভাব: ক্ষতি গ্রহণ করার সময় খেলোয়াড়রা ছোট হয়ে যায়",في هذه الجولة ، يصبح الجسم أصغر عندما يتم إطلاق النار عليه,ဒီပတ်ပတ်လည်မှာတော့ခန္ဓာကိုယ်ကပစ်သတ်တဲ့အခါခန္ဓာကိုယ်ကသေးငယ်လာတယ်,اس دور میں ، جب اسے گولی مار دی جاتی ہے تو جسم چھوٹا ہوجاتا ہے,"এই রাউন্ডে, শট লাগলে শরীর আরও ছোট হয়"
EVENT_6,Enlarging Effect: Players become larger when taking damage,放大效果：玩家受到傷害時會變得更大,放大效果：玩家受到傷害時會變得更大,"Hiệu ứng Phóng to: Người chơi trở nên lớn hơn khi nhận sát thương","Efek Pembesaran: Pemain menjadi lebih besar saat menerima kerusakan","Efeito de ampliação: os jogadores ficam maiores ao sofrer dano","Efecto de agrandamiento: los jugadores se vuelven más grandes al recibir daño.","Эффект увеличения: игроки становятся больше при получении урона.","Effet d'agrandissement : les joueurs deviennent plus grands lorsqu'ils subissent des dégâts","Büyütme Etkisi: Oyuncular hasar aldıklarında daha büyük hale gelirler","विस्तार प्रभाव: क्षति सहने पर खिलाड़ी बड़े हो जाते हैं","تأثير التكبير: يصبح اللاعبون أكبر حجمًا عند تلقي الضرر","বর্ধিত প্রভাব: খেলোয়াড়রা ক্ষতি গ্রহণ করার সময় বড় হয়",في هذه الجولة ، يصبح الجسم أكبر عندما يتم إطلاق النار عليه,ဒီပတ်ပတ်လည်မှာခန္ဓာကိုယ်ကပစ်သတ်တဲ့အခါခန္ဓာကိုယ်ကပိုကြီးလာတယ်,اس دور میں ، جب اسے گولی مار دی جاتی ہے تو جسم بڑا ہوجاتا ہے,"এই রাউন্ডে, শট লাগলে শরীর আরও বড় হয়"
